product_name,color_name,size_name,location_name,quantity,unit_cost
"# INSTRUCTIONS: Fill in your inventory data below this line","","","","",""
"# product_name: Name of the product (e.g., T-shirt Katun PDK, Long Sleeve, Henley)","","","","",""
"# color_name: Color of the product (e.g., Sky Blue, Navy, Hitam)","","","","",""
"# size_name: Size of the product (e.g., XS, S, M, L, XL, XXL)","","","","",""
"# location_name: Storage location - use 'Display' or 'Lemari'","","","","",""
"# quantity: Number of items in stock (must be a number)","","","","",""
"# unit_cost: Cost per unit (optional, can be 0)","","","","",""
"# DELETE ALL INSTRUCTION LINES ABOVE BEFORE UPLOADING","","","","",""
"","","","","",""
"T-shirt Katun PDK","Sky Blue","M","Display",5,0
"T-shirt Katun PDK","Sky Blue","L","Display",3,0
"T-shirt Katun PDK","Denim Blue","M","Display",2,0
"Long Sleeve","Putih Bluish","XL","Lemari",1,0
"Long Sleeve","Tosca","L","Lemari",2,0
"Henley","Turkis","S","Display",3,0
"Henley","Hijau Botol","L","Display",4,0
"Poloshirt","Fuchsia","M","Lemari",5,0
"Poloshirt","Navy","L","Display",8,0
"Jaket Varsity","Cream","XXL","Lemari",1,0
"Kids T-shirt","Hitam","S","Display",9,0
"Kids T-shirt","Navy","M","Display",6,0
"Kaos Carded","Hitam","L","Lemari",31,0
"Kemeja Drill","Navy","M","Display",1,0
